class,u,g,r,i,z,redshift
STAR,18.80042,18.75799,19.01897,19.23481,19.41763,4.65E-06
GALAXY,19.31768,17.88629,17.14264,16.71917,16.43868,0.08963996
STAR,17.90458,16.72477,16.59318,16.57553,16.62882,-0.00017092
GALAXY,18.51617,16.95023,16.19773,15.77378,15.47813,0.05351913
STAR,18.81672,17.43163,16.87278,16.63026,16.51572,-5.77E-05
STAR,19.07407,19.32453,19.10185,18.93286,18.80589,4.02E-05
STAR,19.5175,19.41074,19.70934,19.88787,20.19308,-5.82E-05
GALAXY,19.49057,17.89874,17.09839,16.6558,16.36493,0.07758257
GALAXY,19.1955,18.01051,17.5018,17.14197,16.95138,0.04233624
GALAXY,19.49472,18.39925,17.79256,17.38426,17.16601,0.08508994
STAR,17.27711,15.93447,15.978,16.05394,16.06975,0.000163704
GALAXY,18.79019,16.79083,15.8557,15.38292,15.03051,0.04077013
GALAXY,18.89928,17.49742,16.63788,16.12202,15.76694,0.1559238
GALAXY,18.59122,17.56834,17.24212,17.24257,18.17929,0.005018893
STAR,19.46029,18.12617,17.44689,17.16181,17.00362,-0.000117878
GALAXY,19.50673,17.55027,16.53967,16.09758,15.68324,0.08048908
GALAXY,19.38842,17.31414,16.29837,15.80596,15.42626,0.06935806
GALAXY,19.56347,17.77927,16.81713,16.38445,16.04378,0.1063814
GALAXY,19.23431,17.90094,17.20117,16.86932,16.57295,0.02894331
STAR,18.35851,17.06477,16.52053,16.29901,16.1961,-0.000137784
GALAXY,18.6699,16.70715,15.69039,15.23475,14.86296,0.08993423
GALAXY,19.55555,17.64036,16.69641,16.23968,15.88483,0.06295025
GALAXY,18.29323,17.19777,16.71038,16.43923,16.24351,0.02424059
GALAXY,18.48769,17.41185,16.9221,16.65832,16.48495,0.02408826
GALAXY,18.63214,17.03507,16.27731,15.9094,15.64428,0.06366909
GALAXY,16.66974,14.77006,13.88219,13.42507,13.14396,0.0308672
GALAXY,17.29519,16.73442,17.08198,17.15347,18.25844,0.03052526
STAR,18.57137,18.60205,17.94477,17.47239,17.17794,4.55E-05
GALAXY,18.74072,17.28601,16.66703,16.33081,16.08293,0.05827271
GALAXY,18.06095,16.20889,15.2915,14.84426,14.47095,0.03081088
QSO,19.35233,18.86894,18.60658,18.57084,18.33137,0.7860857
GALAXY,19.3469,17.91381,17.27614,16.97921,16.68362,0.08033779
GALAXY,19.44802,17.95897,17.18763,16.79636,16.51975,0.1081634
STAR,18.52082,17.4242,17.2761,17.27213,17.28031,-0.000313783
GALAXY,18.45272,16.84462,15.96703,15.53325,15.22941,0.07921813
STAR,17.54009,17.37406,17.68549,17.97549,18.25905,-0.000130986
GALAXY,17.50697,15.74549,14.93004,14.5336,14.21868,0.02728706
STAR,18.03349,16.99499,16.80437,16.74506,16.71893,-0.00033488
STAR,17.15533,15.93695,15.73742,15.71929,15.73813,0.000201764
STAR,19.4201,18.36756,18.21859,18.20171,18.22385,-0.000208798
GALAXY,19.30962,17.96046,17.37865,17.04699,16.82706,0.05398665
STAR,18.36592,16.87863,16.31238,16.08971,15.98311,0.000307912
STAR,19.04703,17.81065,17.26437,17.02838,16.91153,-0.0006477
STAR,16.65844,15.51615,15.03095,14.81542,14.68946,0.000299452
STAR,18.0695,16.98454,16.52808,16.32884,16.2185,1.05E-05
STAR,18.5299,16.73524,16.07627,15.77114,15.68966,-7.60E-05
STAR,18.84794,17.91525,17.77328,17.76434,17.77172,-8.04E-06
STAR,18.45782,17.43254,17.11235,16.98668,16.93474,-0.000129799
QSO,19.29648,18.97669,18.7908,18.60685,18.37464,2.161713
STAR,19.42283,17.4826,16.666,16.28759,16.07406,7.64E-05
GALAXY,18.75948,17.00923,16.23589,15.85673,15.56286,0.04475124
GALAXY,18.84181,17.4226,16.80486,16.47375,16.21138,0.04603937
QSO,19.57044,18.82343,18.6608,18.62754,18.53756,2.66041
STAR,19.51562,17.82425,17.08279,16.77708,16.60823,-2.12E-05
STAR,18.86133,19.11189,19.58407,19.90234,20.14189,-0.000139019
QSO,19.16534,19.11848,18.97712,18.67158,18.43072,1.91298
STAR,18.39739,17.19646,17.05326,17.01461,17.00084,0.000328699
STAR,18.90031,17.67214,17.13669,16.89738,16.78651,-2.90E-05
GALAXY,17.95656,16.73918,16.16762,15.82151,15.5476,0.0436254
STAR,19.58919,18.56249,18.11215,17.94639,17.88853,-0.000130642
QSO,17.88149,17.45606,17.56832,17.51216,17.60666,0.6031489
GALAXY,19.21048,18.42527,18.33849,17.97625,18.06766,0.07532337
STAR,19.59895,18.34421,17.79652,17.54303,17.41207,0.000115738
STAR,19.05533,17.30339,16.57268,16.30452,16.13281,-8.65E-05
STAR,19.13002,17.84381,17.30561,17.07955,16.93929,-9.74E-05
STAR,18.64835,17.26237,16.70041,16.4644,16.32455,0.000219052
STAR,17.871,16.62171,16.20232,16.04159,15.96786,0.000194276
GALAXY,18.42457,17.03285,16.43201,16.08331,15.84946,0.03498629
STAR,19.46866,18.26626,17.80767,17.62572,17.52698,-0.000162799
STAR,18.3094,17.13075,16.63043,16.43888,16.33171,0.000256356
STAR,18.22791,17.03074,16.47815,16.24079,16.09382,0.000686585
GALAXY,18.55948,17.31544,16.71859,16.32946,16.09309,0.08371136
STAR,18.55733,17.24357,16.62276,16.34301,16.20834,-2.15E-05
STAR,17.54774,16.37762,15.95853,15.80821,15.75121,-8.45E-05
STAR,17.40638,16.31527,15.93188,15.76507,15.73012,4.41E-05
STAR,17.89244,16.8585,16.42653,16.2378,16.17277,0.000105197
QSO,19.37655,19.09841,18.98511,18.71276,18.73387,1.614186
QSO,19.55025,19.23416,19.12857,18.88795,18.92883,1.520577
STAR,18.84333,18.96658,19.36977,19.6634,19.85168,-0.000111526
STAR,19.35532,18.27781,18.22118,18.25271,18.32363,-0.000707557
GALAXY,19.346,17.24572,16.2121,15.77169,15.40704,0.0972218
QSO,19.18425,18.51466,18.13073,18.13962,18.02939,2.422869
GALAXY,18.51099,16.5434,15.63836,15.20576,14.85911,0.04208763
GALAXY,19.19569,17.3445,16.47097,16.06784,15.7399,0.04087759
GALAXY,19.15859,17.34954,16.4969,16.10579,15.79345,0.04256609
GALAXY,18.52141,17.56177,17.26736,17.10192,17.00217,0.03575706
STAR,18.57234,16.99515,16.34627,16.08808,15.94475,-3.49E-05
GALAXY,19.35287,17.4368,16.4474,15.98766,15.62644,0.09657628
STAR,19.49323,18.49499,18.15971,18.02188,17.99701,-9.75E-05
GALAXY,19.33871,17.62348,16.86724,16.48278,16.18582,0.03600679
GALAXY,18.13967,16.27623,15.40219,14.96758,14.62897,0.03552287
STAR,18.45485,17.52891,17.22195,17.09779,17.07846,0.000120019
QSO,19.49889,19.19319,18.75828,18.56978,18.29636,0.2555044
STAR,17.42442,15.58155,14.66541,14.41907,14.35144,3.54E-05
STAR,17.3096,16.17659,16.04197,16.03076,16.06882,-0.000189946
GALAXY,18.84734,17.77303,17.32721,17.01488,16.81846,0.06110639
STAR,16.90347,15.72646,15.26839,15.07507,15.00032,-0.000124272
STAR,18.04718,17.009,16.88505,16.85398,16.887,-0.001009761
STAR,17.31549,16.3603,16.00767,15.86309,15.82442,-5.93E-05
STAR,19.53547,19.4925,19.78315,20.09595,20.31205,0.000133107
QSO,18.57647,18.34323,18.36593,18.48586,18.40413,0.8577651
GALAXY,17.74766,16.46928,15.89778,15.53884,15.31654,0.0734743
GALAXY,19.32904,17.20216,16.65694,16.44001,16.56159,0.01503815
GALAXY,18.69024,17.40312,16.71291,16.30941,16.04728,0.10299
GALAXY,19.36442,17.4384,16.43308,16.00176,15.62666,0.102445
STAR,16.99291,17.40191,17.90198,18.22943,18.61781,-0.000877925
STAR,17.59492,16.40791,15.94289,15.75443,15.67217,-0.000365436
GALAXY,19.53273,17.53898,16.51537,16.07366,15.72347,0.1077848
GALAXY,17.82847,16.40379,15.72841,15.32938,15.06795,0.04393206
STAR,18.65671,17.67535,17.35201,17.20264,17.14618,-0.000700348
GALAXY,17.25089,15.2818,14.37104,13.91861,13.57271,0.01963193
GALAXY,17.17192,15.75236,15.08064,14.71081,14.46592,0.04417825
GALAXY,19.18458,17.80794,17.0798,16.64911,16.36567,0.07047854
GALAXY,18.77294,17.00568,16.17306,15.72026,15.3814,0.0856397
GALAXY,19.01134,18.06983,17.65611,17.28407,17.23206,0.1189164
STAR,19.57244,19.07012,18.90436,18.8525,19.03476,-0.000219937
GALAXY,19.55599,17.67596,16.75422,16.34281,16.01474,0.07320476
QSO,19.04831,18.73937,18.46501,18.27913,17.83813,0.3948658
QSO,18.81678,18.55961,18.26237,18.12642,17.77408,0.3984252
STAR,19.18529,18.22089,17.86336,17.72648,17.71123,-0.000387474
GALAXY,17.54028,15.60187,14.72434,14.29062,13.95875,0.06150585
GALAXY,18.33316,16.70947,15.91148,15.48532,15.17922,0.06114325
GALAXY,19.12104,17.72055,16.98205,16.56332,16.28012,0.1208085
QSO,18.91926,18.95518,18.68492,18.72724,18.81737,1.316978
QSO,19.02018,18.70032,18.6075,18.39635,18.43465,1.594976
STAR,16.39689,15.25397,15.1052,15.06719,15.13035,-0.000425042
GALAXY,19.59971,18.03099,17.34425,16.93693,16.69568,0.1100455
GALAXY,18.71487,17.41558,16.82697,16.47143,16.26373,0.07592985
GALAXY,19.59569,18.32062,17.52145,17.04797,16.7152,0.1553917
GALAXY,19.47268,17.67037,16.726,16.25147,15.901,0.1117364
GALAXY,19.20355,18.05928,17.62633,17.31258,17.17038,0.08365738
GALAXY,19.55,18.39973,17.65845,17.26853,16.97928,0.1549218
QSO,19.08875,18.87859,18.28186,17.89412,17.68338,0.2433957
GALAXY,19.04674,17.68537,16.78623,16.31546,15.96654,0.09537451
QSO,18.07484,18.02114,17.62386,17.52535,17.52093,1.297421
GALAXY,19.41193,17.9056,17.03602,16.60703,16.28514,0.1203654
GALAXY,18.13426,16.8581,16.32589,16.02929,15.84409,0.04461693
QSO,17.95691,17.60577,17.59757,17.42985,17.33805,0.4924303
GALAXY,19.17038,17.64244,16.7199,16.25682,16.0076,0.1564699
GALAXY,19.00061,18.01411,17.67128,17.48635,17.37842,0.03929089
STAR,17.58855,16.64127,16.26081,16.10186,16.03844,-9.00E-05
STAR,16.44545,15.37014,14.93257,14.75177,14.67917,0.001116531
GALAXY,17.50309,16.12255,15.50542,15.14933,14.95053,0.04619598
GALAXY,18.67577,16.66072,15.65215,15.20135,14.83638,0.08773474
GALAXY,19.46999,17.62246,16.7987,16.39751,16.10277,0.04646964
STAR,19.413,18.51467,18.19586,18.06826,18.03469,0.000878114
STAR,17.36566,16.42457,16.06568,15.91946,15.85298,-5.08E-05
STAR,16.7483,15.62996,15.27428,15.15911,15.12339,0.000134018
GALAXY,19.09695,17.10244,16.01278,15.56219,15.18301,0.1261049
GALAXY,18.85229,17.63904,17.04734,16.71426,16.4725,0.03546179
GALAXY,18.22104,17.05559,16.58764,16.29906,16.09243,0.04747811
GALAXY,19.04115,17.38003,16.6373,16.16045,15.83395,0.06247292
STAR,17.14999,15.6365,15.08191,14.91099,14.84858,0.000194298
GALAXY,17.90808,16.75098,16.49705,16.62966,16.19007,0.03545549
STAR,18.363,16.93593,16.386,16.1985,16.11505,-9.72E-05
STAR,19.00955,17.41549,16.84034,16.6508,16.55332,0.000244192
STAR,17.01401,15.64841,15.0277,14.75922,14.62626,0.001118533
STAR,17.39676,15.98879,15.46148,15.28628,15.23576,4.67E-05
STAR,17.91573,16.21564,15.59977,15.41756,15.34134,-1.04E-05
GALAXY,18.16686,16.36014,15.51101,15.11288,14.77663,0.04720632
STAR,19.13209,17.87136,17.36701,17.15744,17.06743,-6.16E-05
STAR,17.91672,16.36971,15.81155,15.60741,15.51737,0.000250126
GALAXY,17.70363,15.68413,14.75272,14.29722,13.95347,0.0650453
GALAXY,19.16188,17.5884,16.65029,16.19813,15.84187,0.1369716
GALAXY,18.83399,17.57686,16.94633,16.55366,16.31444,0.08850689
STAR,19.17875,17.65318,17.13492,16.91208,16.80051,0.000288178
STAR,18.38924,16.97681,16.35331,16.06354,15.90297,0.000101524
STAR,17.78484,16.46776,15.98615,15.80304,15.74504,-0.000122831
GALAXY,19.50447,17.60776,16.69411,16.26086,15.91449,0.08085039
STAR,17.18955,15.68614,15.16531,14.99597,14.92712,0.000115983
STAR,17.02568,16.06685,15.78258,15.67572,15.64467,0.000236933
GALAXY,17.57675,16.35207,15.79105,15.44982,15.19207,0.03502265
STAR,18.95423,17.57763,17.05884,16.87089,16.75794,0.000235166
STAR,19.19499,17.67257,17.11662,16.90118,16.78177,0.000139555
GALAXY,18.24147,16.36091,15.51062,15.09205,14.76688,0.05647835
STAR,18.26872,16.5515,15.88596,15.64806,15.52176,3.06E-05
STAR,17.28703,15.88772,15.31142,15.06967,14.93475,0.000571062
STAR,18.47617,16.08769,15.03687,14.64223,14.41759,4.08E-05
STAR,18.89477,17.68926,17.62054,17.60062,17.55438,0.000212412
STAR,18.1793,15.9787,15.06057,14.70557,14.50055,-0.00015267
GALAXY,19.27866,18.27443,17.56902,17.17205,16.9123,0.2027204
GALAXY,19.38729,18.11767,17.59908,17.27139,17.03778,0.07743941
STAR,18.83391,17.65896,17.12987,16.90308,16.78499,0.000157964
STAR,17.81526,16.20362,15.63635,15.42636,15.34886,9.02E-05
STAR,18.80408,17.61606,17.17328,16.99956,16.94129,4.66E-05
STAR,17.38359,16.20386,16.26808,16.34682,16.42453,0.000154712
STAR,18.40193,17.26971,16.79377,16.57975,16.47653,-6.91E-06
STAR,17.17106,15.84322,15.35562,15.18469,15.12566,9.52E-06
GALAXY,18.85771,17.3365,16.60225,16.17563,15.9129,0.08826268
STAR,17.34617,16.41362,16.25885,16.21258,16.24118,0.001119249
STAR,19.13087,17.76954,17.2544,17.02957,16.9635,1.21E-05
GALAXY,19.52335,17.58873,16.70269,16.24651,15.89563,0.07870299
GALAXY,19.53143,17.72145,16.83091,16.39734,16.08084,0.07183877
GALAXY,19.03819,17.79249,17.22686,16.85721,16.63472,0.1125911
QSO,19.19906,18.98658,18.72967,18.60782,18.5857,1.403561
GALAXY,18.08446,16.95451,16.28149,15.88147,15.60056,0.06255899
GALAXY,18.91198,17.72086,17.11255,16.70341,16.44827,0.06253219
GALAXY,19.25243,18.13035,17.5816,17.27784,17.11384,0.06272236
GALAXY,19.44082,17.37083,16.33696,15.88241,15.48007,0.09257647
GALAXY,19.27058,18.17954,17.62054,17.24121,17.02961,0.09317704
GALAXY,19.51307,17.54918,16.57006,16.11872,15.77169,0.094426
STAR,17.44188,16.50197,16.1593,16.0127,15.9655,0.000324226
QSO,19.45882,19.03379,18.74002,18.75484,18.7174,0.9878923
GALAXY,19.26553,18.14392,17.65994,17.31314,17.1382,0.09625829
QSO,19.41533,19.19654,18.99171,18.64631,18.57148,1.896616
QSO,19.30088,19.17728,19.26831,19.40944,19.54679,1.350456
GALAXY,19.19938,17.25997,16.34987,15.97334,15.63232,0.09517123
GALAXY,19.30103,17.74245,16.89154,16.43431,16.10919,0.09610251
STAR,16.79231,15.50062,14.92929,14.68886,14.54752,0.00083366
GALAXY,18.1164,16.60579,15.8752,15.48047,15.17607,0.05606531
GALAXY,19.20144,18.03407,17.66074,17.39079,17.30588,0.05642423
GALAXY,19.15184,18.10442,17.79133,17.5432,17.39712,0.03452292
GALAXY,19.42867,17.59117,16.57017,16.0061,15.54113,0.09401862
STAR,18.8906,17.89754,17.59805,17.46548,17.39401,0.00014573
STAR,19.25194,18.2717,18.01712,17.90655,17.8851,0.000635232
GALAXY,19.40891,17.79996,17.01348,16.59578,16.29567,0.09467486
GALAXY,19.27823,18.12834,17.72846,17.40861,17.31925,0.07181334
GALAXY,18.8345,16.77964,15.7686,15.32982,14.9749,0.09450503
GALAXY,19.53542,17.98712,17.07004,16.60347,16.2515,0.1468786
GALAXY,19.21375,17.86078,17.16067,16.72168,16.42554,0.09498288
GALAXY,19.21625,17.49431,16.58157,16.12693,15.79549,0.118056
GALAXY,17.56078,15.84306,14.94349,14.44422,13.98974,0.03494354
GALAXY,19.58471,17.70535,16.7687,16.35852,16.00057,0.0935319
GALAXY,19.44382,18.20186,17.57832,17.24597,16.98098,0.07396382
STAR,19.43612,18.3378,18.18679,18.16129,18.19179,0.000970754
GALAXY,19.5219,18.16031,17.61438,17.24478,16.99166,0.08698336
QSO,19.15374,19.11041,19.05404,18.77618,18.68085,1.875947
GALAXY,18.86469,17.50174,16.83774,16.44392,16.17204,0.09084529
GALAXY,19.55022,17.88519,17.09384,16.72751,16.41544,0.06510175
GALAXY,17.78733,16.24017,15.49375,15.07718,14.73213,0.03397743
STAR,19.45107,18.38657,18.23066,18.18887,18.19806,0.000359334
QSO,19.03105,18.90905,18.6332,18.50312,18.49295,1.172575
GALAXY,18.98467,17.80774,17.31339,16.97296,16.7476,0.0648981
GALAXY,18.76714,16.93103,16.0499,15.61207,15.25153,0.08272831
GALAXY,19.56036,18.1666,17.6468,17.35279,17.20367,0.05840081
STAR,19.30804,18.8975,19.12333,19.37422,19.47773,-6.49E-05
GALAXY,17.11091,15.75166,15.01781,14.61758,14.29235,0.02770622
GALAXY,18.85895,17.84279,17.39774,17.16279,16.95072,0.02126185
STAR,18.43512,17.30352,17.19988,17.21554,17.21168,0.000760672
STAR,17.79241,16.66238,16.30104,16.16709,16.10818,-0.000132917
STAR,19.10976,17.73485,17.16479,16.95688,16.82334,-0.000173108
STAR,17.14923,15.54331,15.00412,14.8333,14.76185,9.88E-06
STAR,18.13579,16.62,16.09115,15.89266,15.78976,-5.15E-05
QSO,19.3719,18.74821,17.80828,17.3182,16.99094,0.2384535
STAR,18.15923,16.81399,16.21589,16.00613,15.84773,-0.000773104
STAR,16.32855,15.31857,15.02294,14.91374,14.89553,-3.29E-05
STAR,17.8005,16.60727,16.18797,16.04867,15.97751,-0.000250066
STAR,18.57653,17.68594,17.45869,17.37851,17.37804,-0.000481667
STAR,19.47127,18.3652,18.47488,18.56451,18.62382,0.000112753
STAR,19.12665,17.71632,17.18634,16.96498,16.84687,6.11E-06
STAR,18.00067,16.0931,15.29277,14.97982,14.8094,3.38E-05
STAR,18.1284,16.30162,15.70005,15.53994,15.49854,1.86E-05
STAR,18.32051,16.89544,16.36172,16.16441,16.11468,-8.07E-05
GALAXY,18.0092,16.8149,16.35628,16.15085,16.01649,0.02279919
GALAXY,18.57035,17.39246,16.95448,16.64374,16.48623,0.08034749
QSO,18.95351,18.8721,18.61315,18.59806,18.71719,1.215538
STAR,18.00362,16.47341,15.92259,15.71688,15.64202,8.43E-06
STAR,18.25708,17.23043,17.10457,17.06309,17.08691,-0.00024857
STAR,18.06198,18.17445,18.66319,18.97943,19.28476,-6.93E-05
STAR,17.65168,16.46087,16.11174,15.96434,15.91781,-3.76E-05
STAR,17.44747,16.1568,15.64906,15.43061,15.3442,0.000626346
STAR,17.64121,16.31137,15.83296,15.64754,15.56873,0.000123686
GALAXY,19.17885,17.61417,16.90285,16.47362,16.20284,0.1083665
STAR,17.44684,16.47435,16.19601,16.08416,16.06882,0.000682136
STAR,18.55441,17.61557,17.4075,17.31738,17.33438,-0.000365598
QSO,18.89325,18.81742,18.84301,18.67533,18.50327,2.007343
STAR,17.98142,16.53124,15.98778,15.77157,15.66088,0.000177747
STAR,19.39293,18.38481,17.95502,17.74713,17.71264,0.000383909
GALAXY,19.1581,17.19834,16.23881,15.80317,15.43806,0.09052185
STAR,17.95998,16.9956,16.61325,16.44035,16.34248,0.000141414
STAR,19.19136,18.31329,18.03049,17.93967,17.93863,0.000425948
STAR,17.14412,16.21274,15.921,15.81878,15.81111,0.000645585
STAR,17.51531,16.20045,15.68766,15.51929,15.4486,-0.000235161
STAR,18.96314,17.59786,17.08255,16.91562,16.82683,0.000289279
GALAXY,19.0892,17.42552,16.53225,16.09403,15.73852,0.08979167
GALAXY,18.95655,17.6471,16.91203,16.48641,16.1866,0.1164155
STAR,19.29418,17.84228,17.29527,17.1264,17.03474,2.08E-05
STAR,16.30124,15.3312,15.01175,14.89482,14.85194,0.000400701
STAR,18.57187,17.56417,17.22917,17.10789,17.06586,0.000119507
STAR,16.46668,15.269,14.88395,14.74644,14.71614,-9.97E-05
STAR,19.48091,18.24233,17.72408,17.4977,17.36199,0.000688943
GALAXY,17.8125,16.3429,15.59771,15.18967,14.87065,0.07249224
GALAXY,18.83398,17.60006,16.87173,16.47609,16.19033,0.07200869
STAR,18.95565,18.12916,17.77666,17.61678,17.54009,0.001081874
STAR,17.49214,15.80527,15.13732,14.87314,14.72937,-5.64E-05
STAR,17.84209,16.9064,16.63681,16.526,16.5028,0.000150152
STAR,18.96813,17.94991,17.49515,17.27039,17.14994,2.68E-05
STAR,16.88696,15.18882,14.49096,14.194,14.03214,-0.000192874
GALAXY,18.91048,17.90761,17.43517,16.96392,16.87224,0.121482
GALAXY,19.25568,18.13317,17.58405,17.19809,16.94482,0.09681862
GALAXY,18.58539,17.44017,16.98545,16.70627,16.55293,0.03834352
GALAXY,18.70817,17.56186,17.0752,16.82436,16.6447,0.02147934
GALAXY,19.59427,18.38557,17.68336,17.307,17.08768,0.09223218
GALAXY,19.42913,17.52109,16.54752,16.11374,15.74206,0.1023552
QSO,17.44763,17.40266,17.50672,17.52596,17.11701,0.3788754
QSO,19.00821,18.81989,18.76197,18.49328,18.55766,1.735306
STAR,17.96716,16.8582,16.49776,16.34852,16.30215,-0.000159798
GALAXY,19.58979,17.60658,16.50775,16.06941,15.6749,0.1254037
GALAXY,19.01376,17.37282,16.52387,16.04365,15.73745,0.07376079
GALAXY,16.99432,15.79183,15.27985,14.97925,14.7697,0.0334835
GALAXY,19.44885,17.47757,16.55873,16.14563,15.80436,0.07397272
GALAXY,18.92363,17.26388,16.43297,16.00368,15.63324,0.02864285
QSO,18.78444,18.68543,18.67734,18.44476,18.36081,1.72093
STAR,19.19454,18.2396,17.88532,17.74109,17.69597,0.000844671
STAR,18.80128,17.90495,17.55863,17.41512,17.35387,0.000755492
STAR,17.30171,16.04475,16.09419,16.15114,16.17701,-0.00025183
QSO,18.87612,18.73602,18.68644,18.42043,18.36785,1.739622
GALAXY,18.27351,16.40658,15.54518,15.13496,14.80932,0.04576474
GALAXY,19.53954,17.96132,17.15958,16.73947,16.4393,0.0461611
GALAXY,18.83664,17.79551,17.39124,17.15681,16.98134,0.03331094
GALAXY,19.55145,18.24758,17.61806,17.24913,17.00541,0.07032461
QSO,16.39398,16.22292,16.42408,16.38773,16.20318,0.4237695
GALAXY,19.31236,17.28536,16.27297,15.80224,15.39321,0.09054341
GALAXY,19.07446,17.87687,17.35461,17.03825,16.80634,0.09044667
GALAXY,18.90371,17.70587,17.27521,17.0301,16.88293,0.04807313
GALAXY,17.58879,15.76081,14.9593,14.55726,14.24744,0.03824842
STAR,18.45418,17.59248,17.31742,17.188,17.16982,-5.78E-05
GALAXY,18.78704,16.80903,15.79539,15.31342,14.94918,0.1128998
STAR,18.75355,17.81158,17.4755,17.67501,17.28985,-0.000296908
QSO,19.07418,18.58641,18.00492,17.77501,17.75912,1.802212
GALAXY,19.40988,18.23969,17.68433,17.41557,17.17148,0.03871421
GALAXY,17.98419,16.12447,15.30774,14.90887,14.56817,0.02880348
GALAXY,19.3086,17.46918,16.62757,16.24688,15.92839,0.07181122
GALAXY,19.53507,17.55457,16.51991,16.09631,15.7038,0.1115646
GALAXY,17.25497,15.45822,14.62087,14.21141,13.86431,0.04655705
GALAXY,19.02336,17.0235,16.00804,15.5729,15.19605,0.1111355
GALAXY,18.9642,18.08353,17.75463,17.3947,17.34639,0.1098315
GALAXY,19.25863,18.48204,18.11614,17.5987,17.57342,0.1094904
QSO,19.10832,18.87219,18.53382,18.35899,18.08469,0.2572901
QSO,19.27553,19.22455,19.17879,19.00458,18.92875,1.941778
GALAXY,18.91626,17.77457,17.26922,16.94552,16.7597,0.09020376
GALAXY,18.41599,16.59383,15.68014,15.24811,14.90371,0.09037574
QSO,17.82171,16.18506,15.35982,14.81807,14.51594,0.09042711
STAR,19.39888,18.51277,18.18876,18.07286,18.00324,0.000309134
GALAXY,19.42721,17.92982,17.13053,16.76155,16.47138,0.06422289
GALAXY,16.82234,15.87051,15.49392,15.32382,15.17367,0.01326556
QSO,19.24193,18.90892,18.79272,18.58503,18.66214,1.512699
QSO,18.78107,18.6744,18.59999,18.36688,18.38834,1.821192
STAR,17.97189,18.35325,18.84194,19.19538,19.50974,-0.000143071
STAR,18.37109,16.20697,15.25354,14.79899,14.74187,-6.89E-05
GALAXY,17.5434,15.58319,14.66213,14.16591,13.80773,0.02544205
QSO,19.56295,18.97588,18.76212,18.76532,18.53604,2.201163
STAR,18.34674,18.29909,18.49475,18.67688,18.90414,-0.000306638
QSO,18.93905,18.75433,18.66929,18.39901,18.34296,1.719752
GALAXY,19.38528,17.78866,16.97987,16.57544,16.2369,0.09092774
STAR,16.4521,15.30543,15.14818,15.13035,15.16097,0.000306109
STAR,19.1256,17.95891,17.77781,17.73873,17.72672,0.001042861
STAR,19.59534,18.33888,17.83259,17.64017,17.54989,0.00023934
GALAXY,19.25157,17.19157,16.19525,15.74163,15.38346,0.06199878
STAR,19.21702,18.01118,17.89094,17.8761,17.91762,0.001078201
GALAXY,19.33185,18.21254,17.519,17.07756,16.84713,0.1473927
QSO,19.55322,19.43875,19.24568,19.14084,19.20739,1.43029
GALAXY,17.39366,16.22112,15.75643,15.49954,15.35344,0.02599558
STAR,18.79947,18.97394,19.17481,19.30837,19.32477,0.001123082
GALAXY,19.2041,18.04214,17.54848,17.21816,17.06528,0.08350793
GALAXY,18.86915,17.73447,17.25329,17.0395,16.85552,0.00658949
GALAXY,18.9721,17.87579,17.3342,16.93463,16.74589,0.05064557
GALAXY,19.55193,18.33518,17.737,17.40774,17.24087,0.09888644
GALAXY,18.77625,16.9478,16.03059,15.56422,15.21028,0.02660205
GALAXY,19.37867,17.44197,16.49375,16.03287,15.65151,0.03635695
GALAXY,19.30694,18.01443,17.28729,16.87363,16.57797,0.1225454
GALAXY,18.7196,17.22156,16.41532,15.96881,15.62269,0.03801033
GALAXY,17.41963,15.3452,14.35107,13.86729,13.50864,0.03617733
GALAXY,18.79792,17.73394,17.19519,16.86494,16.63138,0.0374546
GALAXY,19.2669,17.30498,16.34389,15.88671,15.51674,0.03516901
GALAXY,18.72606,17.46576,16.727,16.27238,15.99303,0.1206335
STAR,17.41267,17.09897,17.39865,17.65552,17.87561,0.000125195
GALAXY,17.70856,16.44154,15.70594,15.29789,14.98198,0.03032346
STAR,18.74275,17.26978,16.62725,16.34429,16.21385,0.000507593
STAR,18.51254,17.12438,16.53009,16.29596,16.16014,-3.74E-05
GALAXY,19.25579,18.12039,17.54475,17.22807,17.05199,0.02518325
GALAXY,16.70126,15.79634,15.40868,15.1901,15.01292,0.03053254
GALAXY,17.34683,15.63673,14.6184,14.12285,13.67896,0.0200758
GALAXY,18.98516,17.34394,16.56421,16.20214,15.89514,0.02013125
GALAXY,19.55862,18.28053,17.79416,17.57239,17.29816,0.03038891
STAR,18.36586,17.06604,17.25231,17.26211,17.17261,-0.000258867
GALAXY,19.58055,17.88885,17.01648,16.55652,16.19851,0.06269012
GALAXY,17.86546,15.69004,14.62792,14.13005,13.7438,0.06200635
GALAXY,18.76578,17.57102,17.05291,16.69727,16.5134,0.07320447
GALAXY,18.48396,16.76043,15.98171,15.6036,15.30425,0.03094283
GALAXY,18.83207,18.59205,18.73667,18.18243,18.74379,0.09770181
GALAXY,19.2575,17.71424,16.91903,16.45438,16.15356,0.08081359
GALAXY,19.23989,18.14667,17.70473,17.36212,17.27708,0.08665648
GALAXY,19.49921,17.47877,16.48082,16.02574,15.6892,0.09342141
QSO,19.11004,18.90281,18.7216,18.47826,18.44559,0.5017995
GALAXY,19.53684,18.3191,17.6644,17.2945,17.08201,0.1427079
